Date,Actual,Forecast,Set,Pair
2023-01-04,0.9006238825881638,0,val,CNYAUD_RET
2023-01-05,-1.1105244018850615,0,val,CNYAUD_RET
2023-01-06,1.1723039986793922,0,val,CNYAUD_RET
2023-01-09,-1.383390752018304,0,val,CNYAUD_RET
2023-01-10,0.7481868268437746,0,val,CNYAUD_RET
2023-01-11,0.11846301397090384,0,val,CNYAUD_RET
2023-01-12,-0.10771784248354148,0,val,CNYAUD_RET
2023-01-13,-0.3567730755984155,0,val,CNYAUD_RET
2023-01-16,0.45416925169229055,0,val,CNYAUD_RET
2023-01-17,-0.3551413482316754,0,val,CNYAUD_RET
2023-01-18,-0.906414103160502,0,val,CNYAUD_RET
2023-01-19,1.0118208667568631,0,val,CNYAUD_RET
2023-01-20,0.00852143563238107,0,val,CNYAUD_RET
2023-01-23,-1.0891073285783954,0,val,CNYAUD_RET
2023-01-24,-0.6707576702604645,0,val,CNYAUD_RET
2023-01-25,-0.25511706506980975,0,val,CNYAUD_RET
2023-01-26,-0.8598256310308727,0,val,CNYAUD_RET
2023-01-27,-0.07424174525706138,0,val,CNYAUD_RET
2023-01-30,0.08473722521323761,0,val,CNYAUD_RET
2023-01-31,1.2156422728149872,0,val,CNYAUD_RET
2023-02-01,0.00904459331041387,0,val,CNYAUD_RET
2023-02-02,-1.1289621862866308,0,val,CNYAUD_RET
2023-02-03,1.1270213015083423,0,val,CNYAUD_RET
2023-02-06,1.5668878972822684,0,val,CNYAUD_RET
2023-02-07,0.18605187164216483,0,val,CNYAUD_RET
2023-02-08,-1.06757152575696,0,val,CNYAUD_RET
2023-02-09,0.5421717088527394,0,val,CNYAUD_RET
2023-02-10,-0.00999887219432584,0,val,CNYAUD_RET
2023-02-13,-0.04693834215491654,0,val,CNYAUD_RET
2023-02-14,-1.013809163004466,0,val,CNYAUD_RET
2023-02-15,-0.31055765314932154,0,val,CNYAUD_RET
2023-02-16,0.7812394580370117,0,val,CNYAUD_RET
2023-02-17,0.5325454387940356,0,val,CNYAUD_RET
2023-02-20,-0.07141263911176397,0,val,CNYAUD_RET
2023-02-21,-0.5237043032347456,0,val,CNYAUD_RET
2023-02-22,0.4159763961171992,0,val,CNYAUD_RET
2023-02-23,0.4432347104279089,0,val,CNYAUD_RET
2023-02-24,-0.18669727430185795,0,val,CNYAUD_RET
2023-02-27,0.4066809159577172,0,val,CNYAUD_RET
2023-02-28,0.05114984664092005,0,val,CNYAUD_RET
2023-03-01,0.3484871024241039,0,val,CNYAUD_RET
2023-03-02,0.5017904695733387,0,val,CNYAUD_RET
2023-03-03,-0.2971158577028794,0,val,CNYAUD_RET
2023-03-06,-0.1894702628510664,0,val,CNYAUD_RET
2023-03-07,-0.00769647475137168,0,val,CNYAUD_RET
2023-03-08,1.6722903724233529,0,val,CNYAUD_RET
2023-03-09,0.1140886082061014,0,val,CNYAUD_RET
