MSE (100x Scale),MAE (%),RMSE (%),MAPE (%),Model,Pair,Set
0.4401865564895347,0.506176312900797,0.6634655654135598,115.72695617425282,arima,CNYAUD_RET,val
0.3824878292132258,0.43717025457069836,0.6184560042664521,101.76467873076717,arima,CNYAUD_RET,test
0.3748431337487921,0.46932497843262583,0.6122443415408525,114.86320514836439,arima,USDAUD_RET,val
0.3900530099439964,0.4460781678769624,0.6245422403200575,102.10307016397718,arima,USDAUD_RET,test
0.43355252727243576,0.4906879655861876,0.6584470573041054,105.42390769081007,arima,JPYAUD_RET,val
0.5138978140062211,0.506294441786701,0.7168666640360822,1067.8204121990054,arima,JPYAUD_RET,test
0.2940316238412411,0.41691410841159116,0.5422468292588174,179.05066444560939,arima,KRWAUD_RET,val
0.35757291907685357,0.42481024777273446,0.5979740120413709,140.7967200427952,arima,KRWAUD_RET,test
0.36863008260371,0.453564025228337,0.6071491436242911,123.40643066806831,arima,INRAUD_RET,val
0.40732636743921663,0.4564538895143868,0.6382212527323238,133.57570264735452,arima,INRAUD_RET,test
0.43915501983533617,0.5049779421116507,0.6626877242226056,111.01127192116978,baseline_ar1,CNYAUD_RET,val
0.38266543964240696,0.43734126921127664,0.6185995794069108,102.00479195421804,baseline_ar1,CNYAUD_RET,test
0.37402908143257957,0.4687749039343344,0.6115791702082238,107.68026872314019,baseline_ar1,USDAUD_RET,val
0.3928251859586363,0.44758131712733046,0.6267576772235314,101.62376085686373,baseline_ar1,USDAUD_RET,test
0.4314035062949581,0.4885145659332474,0.6568131441246879,100.85433399570304,baseline_ar1,JPYAUD_RET,val
0.5184032559806641,0.5062465487129941,0.720002261094133,859.848080823952,baseline_ar1,JPYAUD_RET,test
0.29809437640946607,0.423881856467305,0.5459801978180766,168.32087939573773,baseline_ar1,KRWAUD_RET,val
0.358182936660585,0.4258629733579398,0.5984838649960289,129.87819989345974,baseline_ar1,KRWAUD_RET,test
0.3687701483596335,0.4533971719634797,0.6072644797447266,120.79054800749194,baseline_ar1,INRAUD_RET,val
0.40671271750526355,0.45592884768829184,0.6377403213732558,129.07978279285913,baseline_ar1,INRAUD_RET,test
0.4475635989398206,0.5073371644343138,0.6690019424036231,101.89318087437442,baseline_mean,CNYAUD_RET,val
0.38967635075094975,0.44291839767501334,0.6242406192734896,101.46092603884387,baseline_mean,CNYAUD_RET,test
0.37451204523055415,0.46908190833007685,0.611973892605358,107.48932639541933,baseline_mean,USDAUD_RET,val
0.3942115997448092,0.44857433648260175,0.6278627236465063,100.75862107579535,baseline_mean,USDAUD_RET,test
0.4297424622432465,0.48866866907547063,0.6555474523200029,99.94458164162255,baseline_mean,JPYAUD_RET,val
0.5242608503910816,0.5074464374144925,0.7240585959651895,194.99508731701243,baseline_mean,JPYAUD_RET,test
0.29933728796821796,0.4185369428223166,0.547117252486355,100.81977222790255,baseline_mean,KRWAUD_RET,val
0.3573298443266173,0.42546891128448683,0.597770728897474,101.11045586466878,baseline_mean,KRWAUD_RET,test
0.37273989252246253,0.45426483079365604,0.6105242767674866,102.45697515493617,baseline_mean,INRAUD_RET,val
0.40544730430346554,0.4570755238636547,0.6367474415366469,101.97994599817883,baseline_mean,INRAUD_RET,test
0.44742308398055164,0.5071341908049278,0.668896915810315,100.0,baseline_rw,CNYAUD_RET,val
0.38963617211437207,0.44272122577807843,0.6242084364331935,100.0,baseline_rw,CNYAUD_RET,test
0.3745209975071854,0.46885599710682535,0.611981206825165,100.0,baseline_rw,USDAUD_RET,val
0.39401769007841475,0.4483089183645012,0.6277082842199988,100.0,baseline_rw,USDAUD_RET,test
0.4298312561307733,0.48883804487728966,0.6556151738106534,100.0,baseline_rw,JPYAUD_RET,val
0.5243538383234221,0.5075185357563627,0.7241228061064104,100.0,baseline_rw,JPYAUD_RET,test
0.29921196250207,0.4184554193879748,0.5470027079476573,100.0,baseline_rw,KRWAUD_RET,val
0.3569480397150383,0.42517365190640183,0.5974512864786872,100.0,baseline_rw,KRWAUD_RET,test
0.3726414180489434,0.45455267214825806,0.6104436239727166,100.0,baseline_rw,INRAUD_RET,val
0.4059156502991422,0.4573262215701376,0.6371150997262129,100.0,baseline_rw,INRAUD_RET,test
0.44091960852044004,0.5070451739510875,0.6640177772623561,117.89840759910722,hybrid_arima_mlp,CNYAUD_RET,val
0.3834209639341853,0.43807044315735255,0.619209951417276,107.35092410028928,hybrid_arima_mlp,CNYAUD_RET,test
0.37591976895357326,0.4709477447158266,0.6131229639750686,136.68883994319765,hybrid_arima_mlp,USDAUD_RET,val
0.3906684265299133,0.4465468178843186,0.6250347402584222,106.90369910027158,hybrid_arima_mlp,USDAUD_RET,test
0.43984743433176493,0.4990704771351857,0.6632099474010963,119.29221575178059,hybrid_arima_mlp,JPYAUD_RET,val
0.5155182076551267,0.5098141354850186,0.7179959663223232,3630.3327515037486,hybrid_arima_mlp,JPYAUD_RET,test
0.2943891373077916,0.4177739942465499,0.5425763884540052,178.42001824363956,hybrid_arima_mlp,KRWAUD_RET,val
0.3642360055270514,0.4284855437931584,0.6035196811430853,141.28942507640468,hybrid_arima_mlp,KRWAUD_RET,test
0.3700152404268945,0.4540352299719722,0.6082887804545588,127.42914139749321,hybrid_arima_mlp,INRAUD_RET,val
0.4108715634790168,0.4582561137180707,0.6409926391769385,136.59624148849278,hybrid_arima_mlp,INRAUD_RET,test
0.452872462800083,0.5099215724086827,0.6729579948258902,116.74937884853252,hybrid_arima_svr,CNYAUD_RET,val
0.38173063572149635,0.43681948098076817,0.6178435366025093,105.00778435494757,hybrid_arima_svr,CNYAUD_RET,test
0.3761922144493499,0.4701580246702855,0.6133451022461579,142.95887700138283,hybrid_arima_svr,USDAUD_RET,val
0.388525307989568,0.4463029881175766,0.6233179830468298,103.81933968040194,hybrid_arima_svr,USDAUD_RET,test
0.4461410146489003,0.49599104326712584,0.6679378823280653,122.74821458273443,hybrid_arima_svr,JPYAUD_RET,val
0.5329159255778085,0.517705387864471,0.7300109078485119,1598.4737937058549,hybrid_arima_svr,JPYAUD_RET,test
0.2975690795031364,0.42348807570114155,0.5454989271328922,167.26568548396918,hybrid_arima_svr,KRWAUD_RET,val
0.36574265402978806,0.43140062710665045,0.6047666112061645,151.36452313087878,hybrid_arima_svr,KRWAUD_RET,test
0.366673027532978,0.45278347338480907,0.6055353231092122,108.35614793003141,hybrid_arima_svr,INRAUD_RET,val
0.4098501492113356,0.4581428740045822,0.640195399242556,111.61023570518796,hybrid_arima_svr,INRAUD_RET,test
0.4364853063514076,0.5069421812016629,0.6606703462025578,125.23223186075245,hybrid_var_mlp,CNYAUD_RET,val
0.3844431048552883,0.4403524387070244,0.6200347610056136,115.84528371410269,hybrid_var_mlp,CNYAUD_RET,test
0.37476620619576345,0.46980522919019013,0.6121815140918284,116.41935126187543,hybrid_var_mlp,USDAUD_RET,val
0.3940298098016234,0.4490168124736685,0.6277179380913241,103.48775480057392,hybrid_var_mlp,USDAUD_RET,test
0.43275264007697284,0.48855009416167144,0.6578393725499964,113.04095561902261,hybrid_var_mlp,JPYAUD_RET,val
0.5102971173435397,0.5033030325930976,0.7143508363147199,1865.3009573162042,hybrid_var_mlp,JPYAUD_RET,test
0.3126216815596508,0.4328656388971902,0.5591258190780057,183.80809531972227,hybrid_var_mlp,KRWAUD_RET,val
0.37164439249056214,0.43123535987131817,0.609626436836988,150.9813467118265,hybrid_var_mlp,KRWAUD_RET,test
