MSE (100x Scale),MAE (%),RMSE (%),MAPE (%),Model,Pair,Set
0.22390958600324368,0.34000593661998846,0.47319085578996944,189.3825943406242,arima,USDIDR_RET,val
0.5488448773516834,0.4098931328942233,0.7408406558442129,255.2334224674261,arima,USDIDR_RET,test
0.33158195292829434,0.40800231153358046,0.5758315317245959,234.11241492089206,arima,CNYIDR_RET,val
0.5515717332599801,0.4007640570279643,0.7426787550886185,217.05425543464276,arima,CNYIDR_RET,test
0.2025321143717306,0.3241321161346674,0.4500356812206457,182.69259180010252,arima,INRIDR_RET,val
0.6101285222426966,0.4540435063149665,0.7811072411920764,196.44932325538204,arima,INRIDR_RET,test
0.39376014329835785,0.4791272048300721,0.6275031022220988,152.80529612989608,arima,JPYIDR_RET,val
0.7850712376521608,0.5689247887364597,0.8860424581543261,162.1362234522327,arima,JPYIDR_RET,test
0.1495371016301951,0.2797053158387308,0.3867002736360489,147.05666146406205,arima,SGDIDR_RET,val
0.4998406468461808,0.3648739352816855,0.7069940925115151,331.22474132730935,arima,SGDIDR_RET,test
0.22067482019361875,0.3393856501741254,0.46976038593480696,198.71350228859964,baseline_ar1,USDIDR_RET,val
0.5526990380466545,0.4035965751874187,0.7434373127888151,224.74733143325287,baseline_ar1,USDIDR_RET,test
0.3302452958925021,0.40793140626093166,0.5746697276632049,213.8493690621036,baseline_ar1,CNYIDR_RET,val
0.5606476040036535,0.39885285870799153,0.7487640509557424,221.33155983713507,baseline_ar1,CNYIDR_RET,test
0.20081765434622115,0.3236249456198859,0.44812682841604246,162.22279908851903,baseline_ar1,INRIDR_RET,val
0.6202525125892072,0.4454674844742716,0.787561116732668,178.69665718117562,baseline_ar1,INRIDR_RET,test
0.39412205666210864,0.4778676990496736,0.6277914117460581,149.20040003881834,baseline_ar1,JPYIDR_RET,val
0.7758970814461479,0.5631362231244402,0.8808502037498476,148.2274359247262,baseline_ar1,JPYIDR_RET,test
0.1478234049582201,0.27946349949364585,0.38447809425014073,126.91651952153664,baseline_ar1,SGDIDR_RET,val
