Date,Actual,Forecast,Set,Pair
2023-01-04,0.02271014078188292,0,val,USDMYR_RET
2023-01-05,-0.03407256167215794,0,val,USDMYR_RET
2023-01-06,-0.38692938180072256,0,val,USDMYR_RET
2023-01-09,0.3642115008945383,0,val,USDMYR_RET
2023-01-10,-0.638248745032509,0,val,USDMYR_RET
2023-01-11,-0.06863226596618241,0,val,USDMYR_RET
2023-01-12,-0.0228842554757167,0,val,USDMYR_RET
2023-01-13,-0.27504221221724123,0,val,USDMYR_RET
2023-01-16,-0.5638980037512071,0,val,USDMYR_RET
2023-01-17,-0.4395115473593273,0,val,USDMYR_RET
2023-01-18,0.24312496966887956,0,val,USDMYR_RET
2023-01-19,-0.3011006749061135,0,val,USDMYR_RET
2023-01-20,-0.11604126970002256,0,val,USDMYR_RET
2023-01-23,-0.5355756130324211,0,val,USDMYR_RET
2023-01-24,-0.02334915396647861,0,val,USDMYR_RET
2023-01-25,0,0,val,USDMYR_RET
2023-01-26,0.02334915396648738,0,val,USDMYR_RET
2023-01-27,-0.9383123439272896,0,val,USDMYR_RET
2023-01-30,-0.03536165307276066,0,val,USDMYR_RET
2023-01-31,0,0,val,USDMYR_RET
2023-02-01,0.512653780128457,0,val,USDMYR_RET
2023-02-02,0.00469746218573713,0,val,USDMYR_RET
2023-02-03,-0.4819895892414131,0,val,USDMYR_RET
2023-02-06,0.29416528727753155,0,val,USDMYR_RET
2023-02-07,0.16435715770361203,0,val,USDMYR_RET
2023-02-08,0.8991783434058345,0,val,USDMYR_RET
2023-02-09,-0.08140919537196324,0,val,USDMYR_RET
2023-02-10,0.3368297376391082,0,val,USDMYR_RET
2023-02-13,0.4165737675367382,0,val,USDMYR_RET
2023-02-14,0.6904563588962702,0,val,USDMYR_RET
2023-02-15,-0.2986107895350274,0,val,USDMYR_RET
2023-02-16,0.9843216585613552,0,val,USDMYR_RET
2023-02-17,0.26162463792371565,0,val,USDMYR_RET
2023-02-20,0.6341291069409256,0,val,USDMYR_RET
2023-02-21,-0.03387253064925078,0,val,USDMYR_RET
2023-02-22,0.04515364913674324,0,val,USDMYR_RET
2023-02-23,0.20296097628271825,0,val,USDMYR_RET
2023-02-24,-0.16910373427626654,0,val,USDMYR_RET
2023-02-27,0.03384578275775543,0,val,USDMYR_RET
2023-02-28,0.8982759982528895,0,val,USDMYR_RET
2023-03-01,0.26791897423887717,0,val,USDMYR_RET
2023-03-02,-0.3350163591371596,0,val,USDMYR_RET
2023-03-03,0.06709738489827696,0,val,USDMYR_RET
2023-03-06,0.01117141568475921,0,val,USDMYR_RET
2023-03-07,0,0,val,USDMYR_RET
