MSE (100x Scale),MAE (%),RMSE (%),MAPE (%),Model,Pair,Set
0.1415338868010212,0.2502215642621902,0.37620989726616866,136.79406499086403,arima,USDMYR_RET,val
0.16763133753700837,0.2944100313077757,0.40942806149189187,120.11633179960984,arima,USDMYR_RET,test
0.26354573799827924,0.35485253308629006,0.5133670597129107,220.41375280495342,arima,CNYMYR_RET,val
0.1525688918235433,0.2760511080570525,0.3906006807771119,138.9486258892892,arima,CNYMYR_RET,test
0.27042248364922694,0.39761251965570277,0.5200216184441055,138.0004989448472,arima,EURMYR_RET,val
0.25970326523582393,0.385043972429399,0.5096108959155249,160.53693070182797,arima,EURMYR_RET,test
0.43513960975673044,0.48593557632074247,0.6596511273064956,154.91327240923582,arima,JPYMYR_RET,val
0.386604502054349,0.4863577236198449,0.6217752826016397,121.73692314024753,arima,JPYMYR_RET,test
0.1529238882173345,0.29063023356026757,0.3910548404218192,324.5900127636573,arima,SGDMYR_RET,val
0.13891992544647855,0.2852397056655697,0.37271963383551254,310.14328905899504,arima,SGDMYR_RET,test
0.14138083669250032,0.25021480487042913,0.3760064317169326,135.59037330399048,baseline_ar1,USDMYR_RET,val
0.16733636396875284,0.2947332435134918,0.4090676765142326,120.85668257336582,baseline_ar1,USDMYR_RET,test
0.26626621148441054,0.35604102735772963,0.5160098947543648,205.97386694729258,baseline_ar1,CNYMYR_RET,val
0.14961008673003734,0.2756385633447932,0.38679463120632546,137.89688316063388,baseline_ar1,CNYMYR_RET,test
0.2725033286041044,0.39895451624913736,0.5220185136602958,137.27718437106915,baseline_ar1,EURMYR_RET,val
0.25854575735776286,0.38483239427725763,0.5084739495370071,153.4495782205619,baseline_ar1,EURMYR_RET,test
0.437442717473004,0.48732957845639613,0.6613945248284143,155.49116467826894,baseline_ar1,JPYMYR_RET,val
0.3851495029214492,0.48568439268478814,0.6206041434936196,121.78085340245941,baseline_ar1,JPYMYR_RET,test
0.15655363411806292,0.2937892968628103,0.3956685912706023,259.21890326162384,baseline_ar1,SGDMYR_RET,val
0.13340422336626861,0.27920351190394926,0.3652454289464395,268.94692242957854,baseline_ar1,SGDMYR_RET,test
0.13353536848627762,0.24134135546102037,0.36542491497745144,100.5646461269535,baseline_mean,USDMYR_RET,val
