response,shock,step,irf
USDPHP_RET,USDPHP_RET,0,1.0
USDPHP_RET,USDPHP_RET,1,-0.02855338490277623
USDPHP_RET,USDPHP_RET,2,-0.0205031512327905
USDPHP_RET,USDPHP_RET,3,0.0014031171200287712
USDPHP_RET,USDPHP_RET,4,0.00016807269121706052
USDPHP_RET,USDPHP_RET,5,-0.00015591280243786054
USDPHP_RET,USDPHP_RET,6,6.025200709180543e-05
USDPHP_RET,USDPHP_RET,7,-1.9109259485131878e-05
USDPHP_RET,USDPHP_RET,8,5.669171445925142e-06
USDPHP_RET,USDPHP_RET,9,-1.6447209234244635e-06
USDPHP_RET,USDPHP_RET,10,4.747632105203992e-07
USDPHP_RET,CNYPHP_RET,0,0.0
USDPHP_RET,CNYPHP_RET,1,0.16765283530781697
USDPHP_RET,CNYPHP_RET,2,-0.06579687002435528
USDPHP_RET,CNYPHP_RET,3,0.01953128908368714
USDPHP_RET,CNYPHP_RET,4,-0.005459999313339971
USDPHP_RET,CNYPHP_RET,5,0.0015253891970763462
USDPHP_RET,CNYPHP_RET,6,-0.00043180781408556175
USDPHP_RET,CNYPHP_RET,7,0.00012371587167852585
USDPHP_RET,CNYPHP_RET,8,-3.5705787892065654e-05
USDPHP_RET,CNYPHP_RET,9,1.0341339835147309e-05
USDPHP_RET,CNYPHP_RET,10,-2.999149095166718e-06
USDPHP_RET,JPYPHP_RET,0,0.0
USDPHP_RET,JPYPHP_RET,1,0.016480873787642646
USDPHP_RET,JPYPHP_RET,2,-0.018630507086994763
USDPHP_RET,JPYPHP_RET,3,0.007213973927733096
USDPHP_RET,JPYPHP_RET,4,-0.0022893926896043033
USDPHP_RET,JPYPHP_RET,5,0.0006808920767698052
USDPHP_RET,JPYPHP_RET,6,-0.00019780257188046788
USDPHP_RET,JPYPHP_RET,7,5.713649454067949e-05
USDPHP_RET,JPYPHP_RET,8,-1.650837088131882e-05
USDPHP_RET,JPYPHP_RET,9,4.776878605241826e-06
USDPHP_RET,JPYPHP_RET,10,-1.3839405729531962e-06
USDPHP_RET,HKDPHP_RET,0,0.0
USDPHP_RET,HKDPHP_RET,1,-0.16960803592305476
USDPHP_RET,HKDPHP_RET,2,0.07997242838362544
USDPHP_RET,HKDPHP_RET,3,-0.01799717123408227
USDPHP_RET,HKDPHP_RET,4,0.0044092636964205584
USDPHP_RET,HKDPHP_RET,5,-0.0011340011644634012
USDPHP_RET,HKDPHP_RET,6,0.0003085774240763966
USDPHP_RET,HKDPHP_RET,7,-8.727452527709677e-05
USDPHP_RET,HKDPHP_RET,8,2.5140986197591615e-05
USDPHP_RET,HKDPHP_RET,9,-7.291535960837708e-06
USDPHP_RET,HKDPHP_RET,10,2.1180464307891018e-06
USDPHP_RET,SGDPHP_RET,0,0.0
USDPHP_RET,SGDPHP_RET,1,-0.28739196294090064
USDPHP_RET,SGDPHP_RET,2,0.11418366140842935
USDPHP_RET,SGDPHP_RET,3,-0.036076562537448904
USDPHP_RET,SGDPHP_RET,4,0.010676212149568256
USDPHP_RET,SGDPHP_RET,5,-0.003088253315554605
USDPHP_RET,SGDPHP_RET,6,0.0008898592055939012
USDPHP_RET,SGDPHP_RET,7,-0.00025680681847104397
USDPHP_RET,SGDPHP_RET,8,7.42771121862946e-05
USDPHP_RET,SGDPHP_RET,9,-2.151685428687059e-05
USDPHP_RET,SGDPHP_RET,10,6.238242890063428e-06
CNYPHP_RET,USDPHP_RET,0,0.0
CNYPHP_RET,USDPHP_RET,1,-0.23319612189329453
CNYPHP_RET,USDPHP_RET,2,0.002282360537134469
CNYPHP_RET,USDPHP_RET,3,0.0007234844988142777
CNYPHP_RET,USDPHP_RET,4,0.00010090482967708801
CNYPHP_RET,USDPHP_RET,5,-0.00012576216211225393
CNYPHP_RET,USDPHP_RET,6,5.6133876856884085e-05
CNYPHP_RET,USDPHP_RET,7,-1.92475542393071e-05
CNYPHP_RET,USDPHP_RET,8,5.948024260551083e-06
CNYPHP_RET,USDPHP_RET,9,-1.7598593883072436e-06
CNYPHP_RET,USDPHP_RET,10,5.1213338423342e-07
CNYPHP_RET,CNYPHP_RET,0,1.0
CNYPHP_RET,CNYPHP_RET,1,0.031535248523105394
CNYPHP_RET,CNYPHP_RET,2,-0.05053140890223918
CNYPHP_RET,CNYPHP_RET,3,0.01893539005829151
CNYPHP_RET,CNYPHP_RET,4,-0.005750356956862202
CNYPHP_RET,CNYPHP_RET,5,0.0016522067120183924
