MSE (100x Scale),MAE (%),RMSE (%),MAPE (%),Model,Pair,Set
0.16651140732500896,0.2980598395048232,0.40805809307622976,151.36105537017318,arima,USDPHP_RET,val
0.33504840786192874,0.3894835776274568,0.5788336616524031,144.16000154379407,arima,USDPHP_RET,test
0.29079105290714435,0.39279684236285445,0.5392504547120422,134.7110909428288,arima,CNYPHP_RET,val
0.3349879565647652,0.3890922783089224,0.5787814411025678,240.93640786167438,arima,CNYPHP_RET,test
0.441962276465979,0.490387698835549,0.6648024341606903,117.73096014155797,arima,JPYPHP_RET,val
0.5869484840962476,0.5751446520687077,0.7661256320579853,123.07050740071325,arima,JPYPHP_RET,test
0.1638332037294416,0.29258365632645317,0.40476314522130297,219.1253284602948,arima,HKDPHP_RET,val
0.334012862326544,0.3897916738442623,0.5779384589439813,206.61083091467694,arima,HKDPHP_RET,test
0.1451928308500309,0.2802402778253328,0.3810417704793411,531.0453734112975,arima,SGDPHP_RET,val
0.3095564033213868,0.3813847928019427,0.5563779320941717,184.19072620946838,arima,SGDPHP_RET,test
0.168602570027831,0.30023073177652143,0.41061243287050014,152.79766240521627,baseline_ar1,USDPHP_RET,val
0.3419876031637332,0.39415040425752407,0.5847970615211171,145.20083946557182,baseline_ar1,USDPHP_RET,test
0.2953444181802006,0.3969408466611889,0.5434559947044476,132.81658052186424,baseline_ar1,CNYPHP_RET,val
0.34325888714071917,0.3953460434390797,0.5858829978252648,255.63014599032795,baseline_ar1,CNYPHP_RET,test
0.4433826764475627,0.4914204458329252,0.6658698644987342,116.25347993595601,baseline_ar1,JPYPHP_RET,val
0.5883279787159293,0.5751570609993851,0.7670254094330443,121.02180290115008,baseline_ar1,JPYPHP_RET,test
0.1658154523359574,0.2941938017040541,0.4072044355553576,207.6379315985143,baseline_ar1,HKDPHP_RET,val
0.3412459451044024,0.3946049954990835,0.584162601596852,207.92093307769807,baseline_ar1,HKDPHP_RET,test
0.1479370505966273,0.28428854020630356,0.3846258579407101,528.2873544086813,baseline_ar1,SGDPHP_RET,val
0.3205501501241657,0.38887160271199034,0.5661714847324666,174.50936518305008,baseline_ar1,SGDPHP_RET,test
0.16247567087107498,0.29353357648010925,0.4030827097148611,98.75387280785439,baseline_mean,USDPHP_RET,val
0.38692242167554153,0.4043711735829294,0.6220308848244929,100.26840114089657,baseline_mean,USDPHP_RET,test
0.3212109012549256,0.4046793580317222,0.5667547099538967,100.5465360685432,baseline_mean,CNYPHP_RET,val
0.38313760197266655,0.40064586451520484,0.6189810998509296,103.99405378366369,baseline_mean,CNYPHP_RET,test
0.44296172583843396,0.49316364204347996,0.6655536986888692,100.08966072430894,baseline_mean,JPYPHP_RET,val
0.6308163390417606,0.5895150031168204,0.7942394721000465,100.52197383722337,baseline_mean,JPYPHP_RET,test
0.15960276819681302,0.2887116231558364,0.39950315167319145,103.01277426460143,baseline_mean,HKDPHP_RET,val
0.3859544669451292,0.40451452577227714,0.6212523375771951,111.61956884518813,baseline_mean,HKDPHP_RET,test
0.1486808256679469,0.28152919044371344,0.3855915269659681,128.21419448891172,baseline_mean,SGDPHP_RET,val
0.3763357576440722,0.4017351579079205,0.6134621077491846,99.43290237860766,baseline_mean,SGDPHP_RET,test
0.16249293882137197,0.29377316958223104,0.4031041290056106,100.0,baseline_rw,USDPHP_RET,val
0.3870306358816823,0.40428411954137494,0.6221178633359457,100.0,baseline_rw,USDPHP_RET,test
0.32116035707308993,0.4046167921678868,0.5667101173202133,100.0,baseline_rw,CNYPHP_RET,val
0.383341035185937,0.40079154364636854,0.61914540714273,100.0,baseline_rw,CNYPHP_RET,test
0.44310989314734145,0.49343441873697164,0.665665000692797,100.0,baseline_rw,JPYPHP_RET,val
0.6308651700563801,0.5894796844176694,0.7942702122428992,100.0,baseline_rw,JPYPHP_RET,test
0.15962126725312112,0.2887364156995703,0.3995263035810297,100.0,baseline_rw,HKDPHP_RET,val
0.3860448514229803,0.40436370528375915,0.6213250770916785,100.0,baseline_rw,HKDPHP_RET,test
0.14875691686013054,0.28118298810410536,0.3856901824782821,100.0,baseline_rw,SGDPHP_RET,val
0.3765498540921663,0.4020164556526005,0.6136365814487972,100.0,baseline_rw,SGDPHP_RET,test
