Pair,Horizon,hybrid,linear_or_baseline,Hybrid_minus_Linear_RMSE
USDPHP_RET,1,0.5226464348050956,0.5843879638944476,-0.06174152908935193
HKDPHP_RET,1,0.5227681075381507,0.584401664857963,-0.06163355731981224
SGDPHP_RET,1,0.5268240799166073,0.5765243539367211,-0.04970027402011379
CNYPHP_RET,1,0.5431303256177344,0.5877235979539501,-0.044593272336215684
JPYPHP_RET,1,0.7344466344024054,0.7638778819639086,-0.02943124756150317
USDPHP_RET,10,1.3174417584749452,1.3423508094900087,-0.024909051015063577
HKDPHP_RET,10,1.3359415000690558,1.3481322719216358,-0.012190771852579996
USDPHP_RET,5,0.9973792555279434,0.9966638404175241,0.0007154151104192819
HKDPHP_RET,5,1.0145086236671248,1.0024951560487414,0.0120134676183834
CNYPHP_RET,10,1.3653348410130948,1.3286935020973882,0.036641338915706534
JPYPHP_RET,5,1.3841779382942268,1.3376651093482848,0.046512828945942
SGDPHP_RET,5,0.9469855607126998,0.8986861349256781,0.04829942578702173
CNYPHP_RET,5,1.0500028967294797,0.9948537271728447,0.05514916955663496
JPYPHP_RET,10,1.7591257549622779,1.6897927328885944,0.06933302207368341
SGDPHP_RET,10,1.2470398530349096,1.17724834037217,0.06979151266273953
