Date,Pair,Model,abs_error
2025-06-16,CNYPHP_RET,baseline_rw,4.338310542988915
2025-06-16,CNYPHP_RET,baseline_mean,4.333017470908437
2025-06-16,USDPHP_RET,baseline_rw,4.174125501599486
2025-06-16,HKDPHP_RET,baseline_rw,4.170814583786967
2025-06-16,USDPHP_RET,baseline_mean,4.168143888093755
2025-06-16,HKDPHP_RET,baseline_mean,4.164977820860796
2025-06-16,SGDPHP_RET,baseline_rw,3.920957684822661
2025-06-16,SGDPHP_RET,baseline_mean,3.913948127531936
2025-06-16,CNYPHP_RET,baseline_ar1,3.6511204279786313
2025-06-16,CNYPHP_RET,arima,3.6004631731211676
2025-06-16,JPYPHP_RET,baseline_mean,3.5546342145618905
2025-06-16,JPYPHP_RET,baseline_rw,3.5496542779815883
2025-06-16,CNYPHP_RET,var,3.5187350830471296
2025-06-16,USDPHP_RET,baseline_ar1,3.4469849482508543
2025-06-16,USDPHP_RET,var,3.437940326143263
2025-06-16,HKDPHP_RET,var,3.436959146380654
2025-06-16,HKDPHP_RET,baseline_ar1,3.4301768237890844
2025-06-16,USDPHP_RET,arima,3.411257590957887
2025-10-31,HKDPHP_RET,baseline_rw,3.394529697768984
2025-06-16,JPYPHP_RET,baseline_ar1,3.2610291130539926
2025-06-16,JPYPHP_RET,arima,3.2553110590300793
2025-10-31,SGDPHP_RET,baseline_rw,3.217550381649247
2025-10-31,SGDPHP_RET,baseline_mean,3.2105408243585223
2025-06-16,SGDPHP_RET,baseline_ar1,3.191675153470288
2025-06-16,JPYPHP_RET,hybrid_arima_mlp,3.0635517070670257
