Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,intercept_mean,0.2524867630395042,0.025248676303950418,10.0,1.523970604832094e-23
USDPHP_RET,dual_coef_mean,-4.863399970979467e-18,0.02604817063380162,-1.8670792814403774e-16,0.9999999999999999
USDPHP_RET,n_support_vectors,1461.0,38.22302970723278,38.22302970723279,0.0
CNYPHP_RET,intercept_mean,0.23372646789102408,0.02337264678910241,10.0,1.523970604832094e-23
CNYPHP_RET,dual_coef_mean,0.0,0.02630739500713056,0.0,1.0
CNYPHP_RET,n_support_vectors,1430.0,37.815340802378074,37.815340802378074,0.0
JPYPHP_RET,intercept_mean,0.13368826580209273,0.013368826580209273,10.0,1.523970604832094e-23
JPYPHP_RET,dual_coef_mean,2.2905955375889755e-18,0.025292059357093926,9.056579795454688e-17,0.9999999999999999
JPYPHP_RET,n_support_vectors,1551.0,39.382737335030434,39.382737335030434,0.0
HKDPHP_RET,intercept_mean,0.2526651302738289,0.025266513027382892,10.0,1.523970604832094e-23
HKDPHP_RET,dual_coef_mean,2.4569250890736522e-18,0.026158875340911537,9.392319268524171e-17,0.9999999999999999
HKDPHP_RET,n_support_vectors,1446.0,38.02630668366309,38.02630668366309,0.0
SGDPHP_RET,intercept_mean,0.24995311354098212,0.024995311354098215,9.999999999999998,1.5239706048321166e-23
SGDPHP_RET,dual_coef_mean,0.0,0.026392213633240475,0.0,1.0
SGDPHP_RET,n_support_vectors,1420.0,37.68288736283355,37.68288736283354,0.0
