Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,intercept_mean,0.23357911623927108,0.02335791162392711,9.999999999999998,1.5239706048321166e-23
USDPHP_RET,dual_coef_mean,0.0,0.027406153799793585,0.0,1.0
USDPHP_RET,n_support_vectors,1314.0,36.24913792078372,36.24913792078372,1.0252691306824698e-287
CNYPHP_RET,intercept_mean,0.2742739095807669,0.027427390958076694,10.0,1.523970604832094e-23
CNYPHP_RET,dual_coef_mean,-2.4603280324103192e-18,0.026191513517426063,-9.393607707219299e-17,0.9999999999999999
CNYPHP_RET,n_support_vectors,1444.0,38.0,38.0,0.0
JPYPHP_RET,intercept_mean,0.10493820764672779,0.01049382076467278,10.0,1.523970604832094e-23
JPYPHP_RET,dual_coef_mean,0.0,0.025908990755929784,0.0,1.0
JPYPHP_RET,n_support_vectors,1476.0,38.41874542459709,38.41874542459709,0.0
HKDPHP_RET,intercept_mean,0.22855756667192506,0.022855756667192507,10.0,1.523970604832094e-23
HKDPHP_RET,dual_coef_mean,-2.691449756667046e-18,0.027394618796354568,-9.82473885354886e-17,0.9999999999999999
HKDPHP_RET,n_support_vectors,1320.0,36.3318042491699,36.3318042491699,5.092917599253689e-289
SGDPHP_RET,intercept_mean,0.24333357879385362,0.024333357879385363,10.0,1.523970604832094e-23
SGDPHP_RET,dual_coef_mean,2.530422848148505e-18,0.02654942140079942,9.5309905626505e-17,0.9999999999999999
SGDPHP_RET,n_support_vectors,1404.0,37.469987990390386,37.46998799039039,2.839366367771381e-307
