Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,intercept_mean,0.26461428128815895,0.026461428128815898,9.999999999999998,1.5239706048321166e-23
USDPHP_RET,dual_coef_mean,0.0,0.02641943390358596,0.0,1.0
USDPHP_RET,n_support_vectors,1418.0,37.656340767525464,37.65634076752546,2.57637183155967e-310
CNYPHP_RET,intercept_mean,0.24329723619748841,0.024329723619748844,10.0,1.523970604832094e-23
CNYPHP_RET,dual_coef_mean,-1.8076901350748816e-18,0.025912796542381388,-6.976051898213047e-17,0.9999999999999999
CNYPHP_RET,n_support_vectors,1474.0,38.39270764090493,38.39270764090494,0.0
JPYPHP_RET,intercept_mean,0.12395750904340005,0.012395750904340006,10.0,1.523970604832094e-23
JPYPHP_RET,dual_coef_mean,3.328588705934261e-18,0.024903894607816973,1.336573559418078e-16,0.9999999999999999
JPYPHP_RET,n_support_vectors,1601.0,40.01249804748511,40.01249804748512,0.0
HKDPHP_RET,intercept_mean,0.2699493268253611,0.02699493268253611,10.0,1.523970604832094e-23
HKDPHP_RET,dual_coef_mean,-2.4913840664800146e-18,0.026373605232340617,-9.446505491122452e-17,0.9999999999999999
HKDPHP_RET,n_support_vectors,1426.0,37.76241517699841,37.76241517699842,0.0
SGDPHP_RET,intercept_mean,0.1505089386994415,0.015050893869944152,10.0,1.523970604832094e-23
SGDPHP_RET,dual_coef_mean,1.1978131081593058e-18,0.025855662556287025,4.632691603054849e-17,1.0
SGDPHP_RET,n_support_vectors,1483.0,38.50973902793941,38.50973902793942,0.0
