Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,intercept_mean,0.2319980674450317,0.02319980674450317,10.0,1.523970604832094e-23
USDPHP_RET,dual_coef_mean,-1.3276209562034757e-18,0.02718167053143253,-4.884250784616906e-17,1.0
USDPHP_RET,n_support_vectors,1338.0,36.578682316343766,36.57868231634376,6.242803007538404e-293
CNYPHP_RET,intercept_mean,0.3154153317409578,0.03154153317409578,10.0,1.523970604832094e-23
CNYPHP_RET,dual_coef_mean,-3.569370742264401e-18,0.025774750858438476,-1.3848322964859286e-16,0.9999999999999999
CNYPHP_RET,n_support_vectors,1493.0,38.63935817272331,38.63935817272332,0.0
JPYPHP_RET,intercept_mean,0.1011179431578805,0.01011179431578805,10.0,1.523970604832094e-23
JPYPHP_RET,dual_coef_mean,0.0,0.025716364525507372,0.0,1.0
JPYPHP_RET,n_support_vectors,1502.0,38.7556447501522,38.75564475015221,0.0
HKDPHP_RET,intercept_mean,0.24731130723402303,0.024731130723402304,10.0,1.523970604832094e-23
HKDPHP_RET,dual_coef_mean,1.3207114047585505e-18,0.02713237198515019,4.867659213434744e-17,1.0
HKDPHP_RET,n_support_vectors,1345.0,36.6742416417845,36.6742416417845,1.8802584185676883e-294
SGDPHP_RET,intercept_mean,0.14091710443358157,0.014091710443358158,10.0,1.523970604832094e-23
SGDPHP_RET,dual_coef_mean,-1.2404726532124654e-18,0.026308447132357495,-4.7151116406516193e-17,1.0
SGDPHP_RET,n_support_vectors,1432.0,37.841775856849004,37.841775856849,0.0
