MSE (100x Scale),MAE (%),RMSE (%),MAPE (%),Model,Pair,Set
0.07234859908074714,0.20312058690120002,0.2689769489765752,113.09753935929116,arima,USDSGD_RET,val
0.09945240890189502,0.23628560385103597,0.3153607599272538,119.09566149540413,arima,USDSGD_RET,test
0.19094307265636604,0.28284234597342883,0.436970333840143,205.86728871508217,arima,CNYSGD_RET,val
0.10028862006696379,0.2287833229433964,0.3166837856079212,150.56370544149266,arima,CNYSGD_RET,test
0.06278320662393734,0.19181905713850347,0.2505657730495874,107.52896768249198,arima,EURSGD_RET,val
0.0730426026959808,0.19369170541129851,0.270263950048801,117.20878519856916,arima,EURSGD_RET,test
0.15302281623547268,0.29046898618959643,0.39118130864788603,341.2584336915648,arima,MYRSGD_RET,val
0.14141961722873223,0.2883283348021057,0.3760579971609861,341.4858221636479,arima,MYRSGD_RET,test
0.2389469642227617,0.35133815712661653,0.4888220169169569,116.41891850209163,arima,JPYSGD_RET,val
0.234530130574993,0.36384938301547376,0.48428310994189444,135.3697247659696,arima,JPYSGD_RET,test
0.0725417567623802,0.20350944635468163,0.26933576955610666,100.87156387354011,baseline_ar1,USDSGD_RET,val
0.09993015063793559,0.2365807852611253,0.31611730518580533,102.80797559955272,baseline_ar1,USDSGD_RET,test
0.1927463312181034,0.2847812252005368,0.43902885009769393,205.33105875150315,baseline_ar1,CNYSGD_RET,val
0.10059210539627014,0.23019544951933635,0.317162585114118,156.94778839397762,baseline_ar1,CNYSGD_RET,test
0.06315503256481678,0.19311979076050173,0.25130665045879064,104.60642973821652,baseline_ar1,EURSGD_RET,val
0.07286593299089046,0.1941270125482803,0.2699369055740442,110.87506313531026,baseline_ar1,EURSGD_RET,test
0.15655363411806353,0.2937892968628114,0.39566859127060305,259.2189032593314,baseline_ar1,MYRSGD_RET,val
0.13336247887169975,0.2791503470972828,0.36518827866143205,268.96381576517683,baseline_ar1,MYRSGD_RET,test
0.23821928057982902,0.3492041214316624,0.4880771256469914,112.54736536620089,baseline_ar1,JPYSGD_RET,val
0.23414720865186758,0.3632641864699435,0.48388759919207225,122.85309122785542,baseline_ar1,JPYSGD_RET,test
0.07252775323118385,0.20381585031447258,0.26930977188209093,99.93443472185729,baseline_mean,USDSGD_RET,val
0.10028622510888792,0.23710025535765605,0.3166800042770113,99.90697150821424,baseline_mean,USDSGD_RET,test
0.2057098353038792,0.286303613050619,0.4535524614682178,100.64107463749745,baseline_mean,CNYSGD_RET,val
0.10318051262159296,0.23358815976502414,0.3212172358725368,101.2431964959754,baseline_mean,CNYSGD_RET,test
0.06350792772700926,0.19366540596649184,0.252007792988648,104.5625525483656,baseline_mean,EURSGD_RET,val
0.07301455526650878,0.19409116357196654,0.27021205610873245,113.20539605457614,baseline_mean,EURSGD_RET,test
0.16293710593126992,0.2951336302150584,0.40365468649734504,106.66898338474151,baseline_mean,MYRSGD_RET,val
0.14773068882075105,0.2858809429694742,0.38435750131973623,111.4755804763633,baseline_mean,MYRSGD_RET,test
0.2369482055335265,0.34909877136265266,0.48677325885213385,103.4424917330204,baseline_mean,JPYSGD_RET,val
