Date,Actual,Forecast,Set,Pair,Nonlinear,Hybrid
2023-01-04,0.3082048048633314,0.0238838099041805,val,USDSGD_RET,-0.020690120950687865,0.0031936889534926356
2023-01-05,-0.2903143458826761,-0.0176048037087029,val,USDSGD_RET,-0.022077593577438655,-0.039682397286141556
2023-01-06,0.303693416163564,-0.0277111006289129,val,USDSGD_RET,-0.017100045526238523,-0.04481114615515142
2023-01-09,-0.8756097639988971,0.0198102380156496,val,USDSGD_RET,-0.019340689234621462,0.0004695487810281382
2023-01-10,-0.2544830871294674,0.0417971660007634,val,USDSGD_RET,-0.02152674214500478,0.02027042385575862
2023-01-11,0.0939147422464957,-0.0199542881417252,val,USDSGD_RET,-0.018982797743900662,-0.03893708588562586
2023-01-12,-0.114212129961737,0.0305652620679091,val,USDSGD_RET,-0.017821866625729224,0.012743395442179877
2023-01-13,-0.5775505399397127,0.0103514673981547,val,USDSGD_RET,-0.019246316368509472,-0.008894848970354773
2023-01-16,-0.1945158844872538,-0.0166705023259759,val,USDSGD_RET,-0.018499819083816683,-0.03517032140979258
2023-01-17,0.0068186940439189,0.036926558474984,val,USDSGD_RET,-0.018029965864383754,0.018896592610600248
2023-01-18,-0.0068186940439108,0.0279673599730666,val,USDSGD_RET,-0.024662051867146557,0.0033053081059200434
2023-01-19,0.0166620812462953,-0.0412275118285197,val,USDSGD_RET,-0.018573838412894034,-0.05980135024141373
2023-01-20,0.0742096170846,0.0026814215182733,val,USDSGD_RET,-0.018075281254021254,-0.015393859735747955
2023-01-23,-0.1848635040550483,0.0319890211914132,val,USDSGD_RET,-0.021010820517063333,0.010978200674349865
2023-01-24,-0.027305082567706,-0.0221504039983412,val,USDSGD_RET,-0.02141864741617469,-0.04356905141451589
2023-01-25,0.1114428281785439,-0.0090936185638411,val,USDSGD_RET,-0.01888436814777193,-0.02797798671161303
2023-01-26,-0.6072487563008446,0.0332379222957026,val,USDSGD_RET,-0.01976496071510461,0.013472961580597988
2023-01-27,-0.0518490977474108,0.0013800761694787,val,USDSGD_RET,-0.018427211309994314,-0.017047135140515614
2023-01-30,0.074719966080955,-0.0108665407814329,val,USDSGD_RET,-0.018240249291732166,-0.029106790073165065
2023-01-31,0.1614464877982158,0.0383753121327881,val,USDSGD_RET,-0.020332127836600693,0.018043184296187408
2023-02-01,-0.0228339696977345,-0.0216084134404661,val,USDSGD_RET,-0.02063238008994478,-0.04224079353041088
2023-02-02,-0.6666463169353898,-0.0288218178011477,val,USDSGD_RET,-0.018216437345113842,-0.047038255146261546
2023-02-03,0.4098249466981135,0.0515485192705497,val,USDSGD_RET,-0.01854465845320406,0.033003860817345645
2023-02-06,1.082992027284944,0.0050730528890776,val,USDSGD_RET,-0.022719513543810833,-0.017646460654733232
2023-02-07,0.1809985836156059,-0.0628676069490111,val,USDSGD_RET,-0.02115457618446595,-0.08402218313347705
2023-02-08,-0.3018465653319588,-0.0317422730909418,val,USDSGD_RET,-0.019211408751113417,-0.05095368184205522
2023-02-09,0.2008287445450916,0.0213468487322125,val,USDSGD_RET,-0.017157959844471053,0.004188888887741448
2023-02-10,-0.0369692104467696,0.0094374187917507,val,USDSGD_RET,-0.021154130038158844,-0.011716711246408145
2023-02-13,0.3194027604335541,-0.0158111089323959,val,USDSGD_RET,-0.023011741587047874,-0.03882285051944377
2023-02-14,-0.1181484792669393,-0.0167973866502477,val,USDSGD_RET,-0.0158340066619439,-0.0326313933121916
2023-02-15,0.0316186210013769,0.0184964982099394,val,USDSGD_RET,-0.01520846072316511,0.00328803748677429
2023-02-16,0.5262900603863795,-0.011177344141562,val,USDSGD_RET,-0.020547549457192737,-0.03172489359875474
2023-02-17,0.1152536213249219,-0.0199622263258289,val,USDSGD_RET,-0.021842004742725216,-0.04180423106855412
2023-02-20,0.0014978953233616,-0.0024476680035332,val,USDSGD_RET,-0.019045773321330426,-0.021493441324863624
2023-02-21,-0.081560943895695,-0.0134434645296963,val,USDSGD_RET,-0.01892667013765891,-0.03237013466735521
2023-02-22,0.3206065676977215,0.0075858558653725,val,USDSGD_RET,-0.01805360488615261,-0.01046774902078011
2023-02-23,-0.0022414867533507,-0.00010259539995088884,val,USDSGD_RET,-0.021494072498621317,-0.021596667898572206
2023-02-24,0.1960467304641926,-0.0147426133003477,val,USDSGD_RET,-0.018826656136489973,-0.033569269436837676
2023-02-27,0.5021516458876077,-0.0130491348897084,val,USDSGD_RET,-0.017080447462774016,-0.030129582352482413
2023-02-28,-0.2292138732380876,-0.0012406889198982,val,USDSGD_RET,-0.02090150234310186,-0.022142191263000058
2023-03-01,0.1358142847183304,-0.0106864344776061,val,USDSGD_RET,-0.019718114033956784,-0.030404548511562886
2023-03-02,-0.4765367341708424,-0.0137636422635682,val,USDSGD_RET,-0.01895721678545315,-0.03272085904902135
2023-03-03,0.4023399305868875,0.0404941481775036,val,USDSGD_RET,-0.017928144399156104,0.0225660037783475
2023-03-06,-0.1604422346916662,-0.016418303841629,val,USDSGD_RET,-0.020347649138462924,-0.03676595298009193
2023-03-07,-0.0022332549745381,-0.009875758909806,val,USDSGD_RET,-0.01812147772119664,-0.02799723663100264
2023-03-08,0.6904769423974101,0.006012532728556,val,USDSGD_RET,-0.017536103556458647,-0.011523570827902646
2023-03-09,-0.0930724167895223,-0.0080819718750012,val,USDSGD_RET,-0.02211586722940425,-0.03019783910440545
2023-03-10,0.0014799743612275,-0.0238477812674581,val,USDSGD_RET,-0.019533607760952316,-0.04338138902841042
2023-03-13,-0.4324929962372075,-0.0100373181342545,val,USDSGD_RET,-0.02027036936992381,-0.03030768750417831
2023-03-14,-0.0430611473166494,0.0461906051870473,val,USDSGD_RET,-0.01691730019228705,0.029273304994760246
2023-03-15,-0.1277881533754092,-0.0043080979271596,val,USDSGD_RET,-0.020877666176769605,-0.025185764103929205
2023-03-16,0.4398930673058345,-0.0090586756057112,val,USDSGD_RET,-0.018302113195546494,-0.027360788801257696
2023-03-17,-0.3737466507898626,0.003629642378711,val,USDSGD_RET,-0.017406425993911703,-0.013776783615200704
2023-03-20,-0.4131964980941099,0.0067334029610133,val,USDSGD_RET,-0.020310648870992497,-0.013577245909979198
2023-03-21,-0.2405093783374901,-0.0038868162316853,val,USDSGD_RET,-0.018200113701831323,-0.022086929933516623
2023-03-22,-0.0314208438510946,0.0403258132713799,val,USDSGD_RET,-0.021132090456886517,0.019193722814493382
2023-03-23,-0.5378042496728382,0.008562709462509,val,USDSGD_RET,-0.019634889867681814,-0.011072180405172815
2023-03-24,-0.158819536095297,-0.010645405270725,val,USDSGD_RET,-0.017941324338070188,-0.028586729608795186
2023-03-27,0.3106286035455554,0.0273224949460281,val,USDSGD_RET,-0.016882329154128146,0.010440165791899953
2023-03-28,-0.0751276585302919,0.0162295006966448,val,USDSGD_RET,-0.023056401812117634,-0.006826901115472836
2023-03-29,-0.2430354356313759,-0.0364683136842717,val,USDSGD_RET,-0.020666176338420515,-0.05713449002269221
2023-03-30,0.1377671823653282,0.0042723185607881,val,USDSGD_RET,-0.018443609719358264,-0.014171291158570163
2023-03-31,-0.0978471332702759,0.0385606811715226,val,USDSGD_RET,-0.02017324344426327,0.018387437727259332
2023-04-03,0.4493151314099306,-0.019299639494999,val,USDSGD_RET,-0.02205254883308431,-0.04135218832808331
2023-04-04,-0.5872172740200042,-0.0384062757045806,val,USDSGD_RET,-0.0190620363222669,-0.057468312026847504
2023-04-05,-0.0776991522670097,0.048951195291244,val,USDSGD_RET,-0.017416296471275614,0.031534898819968384
2023-04-06,0.2359323062515682,0.0020219924038825,val,USDSGD_RET,-0.01966639475240311,-0.017644402348520608
2023-04-07,0.1685118908343277,-0.0174247926573165,val,USDSGD_RET,-0.02084794658253783,-0.03827273923985433
2023-04-10,0.0112712207953431,-0.00025518127068738065,val,USDSGD_RET,-0.019496764676413283,-0.01975194594710066
2023-04-11,0.1134209545968881,-0.0040181107700157,val,USDSGD_RET,-0.018899968128601743,-0.022918078898617442
2023-04-12,0.0187642384947491,-0.0100222874228986,val,USDSGD_RET,-0.01796385222973043,-0.02798613965262903
2023-04-13,-0.373728127597953,0.0047257302154659,val,USDSGD_RET,-0.023118431017492325,-0.018392700802026426
2023-04-14,-0.4742310524336561,0.0104142558176366,val,USDSGD_RET,-0.018057551087296484,-0.007643295269659884
2023-04-17,0.8021653865230984,0.0170782089015832,val,USDSGD_RET,-0.016961965138904644,0.00011624376267855771
2023-04-18,0.1673047340924208,-0.0070732750477946,val,USDSGD_RET,-0.020662198575232365,-0.027735473623026967
2023-04-19,-0.1387807115393004,-0.0214775075129104,val,USDSGD_RET,-0.02066970532540092,-0.042147212838311326
2023-04-20,0.2017359121103775,-0.024361637862152,val,USDSGD_RET,-0.017465401317178827,-0.041827039179330824
2023-04-21,-0.2332676481059653,0.0257242793266143,val,USDSGD_RET,-0.019988814719349497,0.0057354646072648036
