Date,Actual,Forecast,Set,Pair,Nonlinear,Hybrid
2023-01-04,-0.3194444591438857,0.0013442646891622,val,USDTHB_RET,-0.14348670966656887,-0.14214244497740666
2023-01-05,-1.4414047194953907,0.2338748483960802,val,USDTHB_RET,-0.27055302695325334,-0.03667817855717315
2023-01-06,0.4475346773133,0.5856535489302555,val,USDTHB_RET,0.38937969141138346,0.9750332403416389
2023-01-09,-1.2177326333026648,0.008641868552675,val,USDTHB_RET,-0.08202266230084378,-0.07338079374816878
2023-01-10,-0.6294257216027596,0.6230668925003796,val,USDTHB_RET,-0.24494378255564186,0.37812310994473775
2023-01-11,0.0987062330839967,0.5111648758120033,val,USDTHB_RET,-0.284258906918953,0.2269059688930503
2023-01-12,-0.2634296286578672,-0.1631761948789069,val,USDTHB_RET,-0.2199329004072607,-0.3831090952861676
2023-01-13,-0.7823773622570097,0.3873953883628868,val,USDTHB_RET,-0.3046524213247483,0.08274296703813849
2023-01-16,-0.6850847895925508,0.1539586575829825,val,USDTHB_RET,-0.08412126989519966,0.06983738768778283
2023-01-17,0.4370560777688825,0.2912081284730307,val,USDTHB_RET,-0.20411824874408896,0.08708987972894172
2023-01-18,-0.060589088872608,0.0802597061371653,val,USDTHB_RET,-0.08769883321432134,-0.007439127077156049
2023-01-19,0.0,0.0494024360999317,val,USDTHB_RET,-0.24072241041234507,-0.19131997431241338
2023-01-20,-0.3642958793245103,-0.1284037536703867,val,USDTHB_RET,0.125872689926673,-0.002531063743713702
2023-01-23,-0.5092012008245668,-0.0462714822559747,val,USDTHB_RET,-0.0940480391628801,-0.1403195214188548
2023-01-24,-0.0091777103916051,0.3689954512910752,val,USDTHB_RET,-0.2154646648880546,0.1535307864030206
2023-01-25,0.1832663118635717,0.1188448893137705,val,USDTHB_RET,-0.15975845060413527,-0.04091356129036476
2023-01-26,-0.1190866392269865,0.023000367650403,val,USDTHB_RET,-0.0667945538882238,-0.043794186237820804
2023-01-27,0.1495925788978038,-0.0060432254911033,val,USDTHB_RET,-0.0852874893043976,-0.0913307147955009
2023-01-30,-0.0457682213114263,-0.1673883448584779,val,USDTHB_RET,0.09893775927841242,-0.06845058558006548
2023-01-31,-0.0152646113685949,-0.0182217904328124,val,USDTHB_RET,0.06578836299680708,0.047566572563994686
2023-02-01,0.3200105037480325,0.0515901424379671,val,USDTHB_RET,-0.05008810963073067,0.0015020328072364308
2023-02-02,-0.4360674495685445,-0.1626128428719081,val,USDTHB_RET,0.11533316612511303,-0.04727967674679508
2023-02-03,0.9973904921881964,0.1563793722558695,val,USDTHB_RET,-0.15484359812655862,0.001535774129310885
2023-02-06,1.4448788070733032,-0.3621597460832491,val,USDTHB_RET,0.27459940449984016,-0.08756034158340892
2023-02-07,0.6510086034511702,-0.7453058830523249,val,USDTHB_RET,0.524373431043816,-0.22093245200850897
2023-02-08,-0.7255874563439411,-0.5013597849305279,val,USDTHB_RET,0.23108970005382126,-0.2702700848767067
2023-02-09,-0.0626947165474921,-0.1845051776384775,val,USDTHB_RET,-0.008605314062211565,-0.19311049170068909
2023-02-10,0.2237326929851165,0.1394711844594208,val,USDTHB_RET,0.11521986447678137,0.2546910489362022
2023-02-13,-0.693706455540174,0.2391252883151551,val,USDTHB_RET,-0.30492921463059863,-0.06580392631544354
2023-02-14,1.3767069856748135,0.4661358199662594,val,USDTHB_RET,-0.255787210124246,0.21034860984201342
2023-02-15,0.1774026459797326,-0.5999405703646634,val,USDTHB_RET,0.31298660836768316,-0.28695396199698026
2023-02-16,1.2010316672040535,-0.2798094506983148,val,USDTHB_RET,0.2953308065593602,0.015521355861045416
2023-02-17,0.4107337783636612,-0.5283320941660332,val,USDTHB_RET,0.3383757752070354,-0.18995631895899784
2023-02-20,0.0494014299654332,-0.6996191241564541,val,USDTHB_RET,0.1945621345908084,-0.5050569895656457
2023-02-21,-0.090107208829184,0.0604956613566667,val,USDTHB_RET,-0.06625661007367312,-0.005760948717006414
