MSE (100x Scale),MAE (%),RMSE (%),MAPE (%),Model,Pair,Set
0.047979512963815835,0.14342320275458598,0.21904226296268908,204.52453550928203,arima,USDVND_RET,val
0.05415106145472295,0.1495026416076861,0.23270380627467818,185.14126766859962,arima,USDVND_RET,test
0.2046364386878535,0.34531847900312235,0.45236759243766955,191.01106005747565,arima,EURVND_RET,val
0.24422282225724218,0.37202580932812407,0.49418905517751216,160.20997591288904,arima,EURVND_RET,test
0.42018532182624113,0.47063420845881127,0.6482170329652261,208.67950867287007,arima,JPYVND_RET,val
0.4038636859881099,0.49536066972180987,0.635502703368058,201.7020226908435,arima,JPYVND_RET,test
0.19321447583722431,0.2992337096022557,0.4395616860432951,325.1886674856803,arima,CNYVND_RET,val
0.07370129415634154,0.1887044499698112,0.2714798227425779,205.4678993041446,arima,CNYVND_RET,test
0.033840113353556744,0.11951208068718444,0.18395682469959287,143.76298308055289,baseline_ar1,USDVND_RET,val
0.04044520784417777,0.13112850916480015,0.2011099396951274,142.859958535737,baseline_ar1,USDVND_RET,test
0.2057386596357759,0.3460524363109414,0.45358423653801716,248.86408444655598,baseline_ar1,EURVND_RET,val
0.23849848544578062,0.36793988812972006,0.4883630672417608,140.74033231941436,baseline_ar1,EURVND_RET,test
0.42012563810625053,0.4704799665057364,0.6481709944962444,201.97541753206204,baseline_ar1,JPYVND_RET,val
0.39753875769640157,0.4913202513536573,0.6305067467493124,184.7814844434707,baseline_ar1,JPYVND_RET,test
0.1938661374776244,0.29133139640643285,0.44030232508768835,268.1370111405577,baseline_ar1,CNYVND_RET,val
0.06829740367582236,0.17997620545781604,0.2613377195810478,177.89767060476055,baseline_ar1,CNYVND_RET,test
0.025810196290237914,0.10286029528366149,0.16065552057193028,98.79560471655034,baseline_mean,USDVND_RET,val
0.03199073460083889,0.11370831268954652,0.1788595387471378,101.26340185992073,baseline_mean,USDVND_RET,test
0.20335839239471734,0.3482635192811624,0.4509527607130456,100.69244535265113,baseline_mean,EURVND_RET,val
0.23320885567362087,0.360813001145696,0.4829170277321156,99.96649556388148,baseline_mean,EURVND_RET,test
0.3907560981670903,0.4561633773342745,0.6251048697355431,101.32659284810055,baseline_mean,JPYVND_RET,val
0.3942575658061543,0.48840624968339513,0.6278993277637381,100.59475350201548,baseline_mean,JPYVND_RET,test
0.21520576529828775,0.2840882060830284,0.46390275413958015,106.41641681785697,baseline_mean,CNYVND_RET,val
0.06146569083051254,0.16294731465645837,0.24792275174036071,106.13878544279449,baseline_mean,CNYVND_RET,test
0.025966261932202105,0.1025152963984641,0.161140503698487,100.0,baseline_rw,USDVND_RET,val
0.0321098899379773,0.11303379591482507,0.17919232667158855,100.0,baseline_rw,USDVND_RET,test
0.20330804510119221,0.34818538056440795,0.4508969340117453,100.0,baseline_rw,EURVND_RET,val
0.23315745185735645,0.3608506434295533,0.48286380259588363,100.0,baseline_rw,EURVND_RET,test
0.39082512976204625,0.4563042282931419,0.6251600833083045,100.0,baseline_rw,JPYVND_RET,val
0.39428292566339584,0.48839723435632265,0.6279195216454063,100.0,baseline_rw,JPYVND_RET,test
0.215225220997476,0.28393237034019503,0.46392372325359266,100.0,baseline_rw,CNYVND_RET,val
0.06172032584655598,0.16301613520910038,0.24843575798696124,100.0,baseline_rw,CNYVND_RET,test
0.04432537822281516,0.1399928216111635,0.21053593095435078,199.9163555911071,hybrid_arima_mlp,USDVND_RET,val
0.05103884597837278,0.14616496572267898,0.2259177858832119,174.85696458939142,hybrid_arima_mlp,USDVND_RET,test
0.20258547850609598,0.3449292806641317,0.4500949660972626,177.1977244807786,hybrid_arima_mlp,EURVND_RET,val
0.23814010638784133,0.36873404593874026,0.4879960106269736,149.8319682527554,hybrid_arima_mlp,EURVND_RET,test
0.4175082866808596,0.46814591163342384,0.6461488115603553,189.55288331275972,hybrid_arima_mlp,JPYVND_RET,val
0.4006380572887181,0.4958354300254195,0.6329597596125034,170.51603770945937,hybrid_arima_mlp,JPYVND_RET,test
0.19585938551064572,0.2985857313151933,0.4425600360523369,283.78646283495266,hybrid_arima_mlp,CNYVND_RET,val
0.07123122413459003,0.18317211097700456,0.2668917835651559,185.583545667431,hybrid_arima_mlp,CNYVND_RET,test
0.1274974820520551,0.3082417323326699,0.3570678955773749,643.6526715948344,hybrid_arima_svr,USDVND_RET,val
0.12832467908469705,0.30230891364049,0.3582243418372027,540.4407153999132,hybrid_arima_svr,USDVND_RET,test
0.20511657455117818,0.34748321655868925,0.4528979736664519,186.83575706732645,hybrid_arima_svr,EURVND_RET,val
0.23725881439384872,0.36491250759111676,0.48709220317497254,138.64784820203113,hybrid_arima_svr,EURVND_RET,test
0.4194276131018134,0.4694316738744109,0.6476323132007956,205.06033213968817,hybrid_arima_svr,JPYVND_RET,val
0.40419064002599253,0.49955081328338385,0.6357598918034957,143.19306785060851,hybrid_arima_svr,JPYVND_RET,test
0.2097383868843456,0.31469732531848743,0.45797203722972607,440.2628936796531,hybrid_arima_svr,CNYVND_RET,val
0.08941988031073127,0.22306869433571752,0.29903157075922815,378.27332539157527,hybrid_arima_svr,CNYVND_RET,test
0.04832775072322792,0.1498946097810691,0.21983573577384527,218.28210565185873,hybrid_var_mlp,USDVND_RET,val
0.05432796611985062,0.1527511155359376,0.2330836032839947,204.801713049583,hybrid_var_mlp,USDVND_RET,test
