Date,Actual,Forecast,Set,Pair,Nonlinear,Hybrid
2023-08-09,0.042149631814743,-0.2737895045707913,val,USDVND_RET,-39.46850213050059,-39.74229163507138
2023-08-10,0.0210681555609189,0.3552956258869154,val,USDVND_RET,-39.878810008019194,-39.52351438213228
2023-08-11,0.0210637178240604,-0.3911759539510511,val,USDVND_RET,-40.1292606112038,-40.520436565154846
2023-08-12,0.0,-0.4656807472360578,val,USDVND_RET,-39.66783369960377,-40.133514446839825
2023-08-13,0.0,0.1365764161739448,val,USDVND_RET,-39.802290498864274,-39.66571408269033
2023-08-14,0.0421141299128181,-0.4255809587155742,val,USDVND_RET,-39.97918311066002,-40.40476406937559
2023-08-15,0.2733103772173488,-0.2864888565244122,val,USDVND_RET,-39.49190766027312,-39.778396516797535
2023-08-16,0.6278798358770983,-0.1804354892936885,val,USDVND_RET,-39.66671472310174,-39.84715021239543
2023-08-17,-0.1252609767122224,-0.1008930368304886,val,USDVND_RET,-39.60715355737602,-39.708046594206515
2023-08-18,-0.3557605510122098,-0.6027446353069922,val,USDVND_RET,-39.705108906654026,-40.307853541961016
2023-08-19,0.0,-0.6215401870533682,val,USDVND_RET,-39.60164989347166,-40.22319008052503
2023-08-20,0.0,-0.0618793536911393,val,USDVND_RET,-39.72117662931334,-39.78305598300448
2023-08-21,0.0,-0.2611079063280207,val,USDVND_RET,-40.04287109569724,-40.30397900202526
2023-08-22,0.0,-0.2880295754106548,val,USDVND_RET,-39.69816038739618,-39.98618996280683
2023-08-23,0.0,0.096302024950513,val,USDVND_RET,-39.77223124250404,-39.67592921755353
2023-08-24,0.2094241603114685,0.3894122836393313,val,USDVND_RET,-40.057512557225046,-39.668100273585715
2023-08-25,0.0,0.8559987653747226,val,USDVND_RET,-39.95682640296814,-39.10082763759342
2023-08-26,0.0,-0.5333745458237812,val,USDVND_RET,-40.14322792888591,-40.676602474709696
2023-08-27,0.0,0.3938463100410918,val,USDVND_RET,-39.68617793725692,-39.29233162721583
2023-08-28,0.3133161832036901,0.1715286729784814,val,USDVND_RET,-40.07450472622663,-39.902976053248146
2023-08-29,0.4369999671118387,-0.6331121696349139,val,USDVND_RET,-39.54632511867565,-40.17943728831056
2023-08-30,0.414422474602627,0.4488159866095336,val,USDVND_RET,-38.997046344024554,-38.54823035741502
2023-08-31,-0.2899152993566904,-0.9958878669853212,val,USDVND_RET,-39.658597458825724,-40.654485325811045
2023-09-01,-0.2075981646546881,-0.6100235145057424,val,USDVND_RET,-39.18855737904296,-39.7985808935487
2023-09-02,0.0,-0.1655110169036526,val,USDVND_RET,-39.472253370748305,-39.637764387651956
2023-09-03,0.0,0.0865689462871078,val,USDVND_RET,-39.85743499840785,-39.77086605212074
2023-09-04,0.0,0.0189003829696969,val,USDVND_RET,-39.7945880998648,-39.7756877168951
2023-09-05,0.0,0.4810314226283581,val,USDVND_RET,-39.96806730329622,-39.48703588066787
2023-09-06,-0.0415713994762587,0.3454178107380771,val,USDVND_RET,-40.20189100824571,-39.85647319750763
2023-09-07,0.0207878599646923,0.9676328223881768,val,USDVND_RET,-40.05897327782684,-39.09134045543866
2023-09-08,0.0207835395115897,-0.5934822084741629,val,USDVND_RET,-40.105923408177176,-40.69940561665134
2023-09-09,0.0,-0.4922002322852294,val,USDVND_RET,-39.4885012618258,-39.98070149411103
2023-09-10,0.0,0.1789161447657604,val,USDVND_RET,-39.55923045806309,-39.38031431329733
2023-09-11,-0.0207835395115824,-0.9955762519946264,val,USDVND_RET,-39.46912536229805,-40.46470161429268
2023-09-12,0.0831082532772205,-0.0204628161059572,val,USDVND_RET,-38.751147634613574,-38.77161045071953
2023-09-13,0.1037882812420021,-0.0086483924346817,val,USDVND_RET,-39.60351216332697,-39.61216055576165
2023-09-14,-0.0830220055989019,0.5177028849463021,val,USDVND_RET,-39.767417946161906,-39.2497150612156
2023-09-15,0.5797117684325914,-0.182718643263776,val,USDVND_RET,-39.873359562346664,-40.05607820561044
2023-09-16,0.0,0.156875555499199,val,USDVND_RET,-39.58989559548688,-39.43302003998768
2023-09-17,0.0,0.7908237875791998,val,USDVND_RET,-40.06208988356528,-39.27126609598608
2023-09-18,0.12378792585461,-0.7603538013455013,val,USDVND_RET,-39.89335946481096,-40.653713266156466
2023-09-19,0.4936250253622592,0.0268780648857005,val,USDVND_RET,-39.080988619132,-39.0541105542463
2023-09-20,0.0,0.2030115170246969,val,USDVND_RET,-39.71360971692508,-39.51059819990038
2023-09-21,-0.4111847898604896,-0.3256913530762153,val,USDVND_RET,-39.68812543806864,-40.013816791144855
2023-09-22,0.1646768589521969,-0.5354031727489981,val,USDVND_RET,-39.30598011084329,-39.841383283592286
2023-09-23,0.0,-0.1967474150158092,val,USDVND_RET,-39.503578611489864,-39.70032602650567
2023-09-24,0.0,0.2392941401656344,val,USDVND_RET,-40.008341102358315,-39.76904696219268
2023-09-25,0.2054654513664375,-0.5340278792551034,val,USDVND_RET,-39.7961786761583,-40.330206555413405
2023-09-26,0.0820681211429135,-0.1136220414052149,val,USDVND_RET,-39.35560583737437,-39.469227878779584
2023-09-27,0.0,0.3419890643098707,val,USDVND_RET,-39.95133044454427,-39.6093413802344
2023-09-28,0.0205065108890352,-0.1188371395174795,val,USDVND_RET,-39.93830994738318,-40.05714708690066
2023-09-29,0.0,0.0412216490638458,val,USDVND_RET,-39.62535454713916,-39.58413289807532
2023-09-30,0.0,-0.0895464506968564,val,USDVND_RET,-40.0442672140915,-40.133813664788356
2023-10-01,0.0,-0.0224500613134236,val,USDVND_RET,-39.968820135398495,-39.991270196711916
2023-10-02,-0.4315222970718421,0.0439329661103267,val,USDVND_RET,-39.81153422014902,-39.767601254038695
2023-10-03,0.2468121368083669,0.1916137539559207,val,USDVND_RET,-39.97257615736161,-39.78096240340569
2023-10-04,0.1847101602634739,0.3515378847379189,val,USDVND_RET,-39.826872843637545,-39.47533495889962
2023-10-05,0.1434279520542776,1.6114213912896014,val,USDVND_RET,-40.02324865185964,-38.411827260570035
2023-10-06,-0.1639344629433168,0.0395904409051327,val,USDVND_RET,-40.09354599424429,-40.05395555333916
2023-10-07,0.0,-0.2134988120007363,val,USDVND_RET,-39.444300029916874,-39.65779884191761
2023-10-08,0.0,0.7991411974042961,val,USDVND_RET,-39.670833293889984,-38.87169209648569
2023-10-09,-0.082068121142922,-0.0658140781556381,val,USDVND_RET,-39.86011599910256,-39.9259300772582
2023-10-10,0.0410424795418665,-0.4496244590041571,val,USDVND_RET,-38.97933904177049,-39.42896350077464
2023-10-11,0.0820344590714068,-0.2310639390070402,val,USDVND_RET,-39.108089439317915,-39.33915337832496
2023-10-12,0.2047922075565631,-0.7228569928198031,val,USDVND_RET,-39.75355041632643,-40.47640740914623
2023-10-13,-0.0204603581276384,-0.602966013487587,val,USDVND_RET,-39.0880157286792,-39.69098174216679
2023-10-14,0.0,0.0134590427601943,val,USDVND_RET,-39.243578897924394,-39.2301198551642
2023-10-15,0.0,-0.5295492614076487,val,USDVND_RET,-39.71079995098044,-40.24034921238808
2023-10-16,0.0204603581276466,-0.0733214292229727,val,USDVND_RET,-39.53329432665128,-39.60661575587425
2023-10-17,0.0817995955631762,0.2767090827725187,val,USDVND_RET,-40.007278869256176,-39.730569786483656
2023-10-18,0.1225740705050038,-0.1067543373856232,val,USDVND_RET,-40.036566876565544,-40.14332121395117
2023-10-19,0.2650628527131652,0.6334394150767984,val,USDVND_RET,-39.7877451180418,-39.154305702965
2023-10-20,-0.0203645250678334,-0.6195199996965873,val,USDVND_RET,-40.1537550542089,-40.773275053905486
2023-10-21,0.0,-0.4596881898186521,val,USDVND_RET,-39.66804379462224,-40.12773198444089
2023-10-22,0.0,0.2091929056877503,val,USDVND_RET,-39.69235019424755,-39.4831572885598
2023-10-23,-0.1222743172518954,-0.7569157047218065,val,USDVND_RET,-39.83487390743805,-40.59178961215986
2023-10-24,0.2850745160090439,-0.0479372200650095,val,USDVND_RET,-39.34891178551234,-39.39684900557735
2023-10-25,-0.1628001987571598,-0.4588891265385849,val,USDVND_RET,-39.785475989484,-40.244365116022585
2023-10-26,0.0407249038412024,0.180179826749092,val,USDVND_RET,-39.82126026215701,-39.64108043540792
2023-10-27,0.1789928067180191,-0.0370415121048638,val,USDVND_RET,-39.79090197862383,-39.82794349072869
2023-10-28,0.0,0.019142263193911,val,USDVND_RET,-39.81111653833335,-39.79197427513944
2023-10-29,0.0,-0.047456327661116,val,USDVND_RET,-40.06629008652059,-40.113746414181705
2023-10-30,-0.1382844813034097,0.0012043348168589,val,USDVND_RET,-39.973204999321034,-39.97200066450417
2023-10-31,-0.0488519794766794,0.4742844525234412,val,USDVND_RET,-39.93639636636165,-39.46211191383821
2023-11-01,0.0081436540620665,-0.2529771131143587,val,USDVND_RET,-40.04832042290479,-40.30129753601915
2023-11-02,0.1017397584961013,0.8195672587080657,val,USDVND_RET,-39.787070133766,-38.96750287505794
2023-11-03,-0.061031433081494,-0.5172793082638582,val,USDVND_RET,-40.14439395806959,-40.66167326633345
2023-11-04,0.0,-0.188772937400889,val,USDVND_RET,-39.51237627414106,-39.70114921154195
2023-11-05,0.0,0.4898608901291431,val,USDVND_RET,-39.64568448985021,-39.15582359972107
2023-11-06,-0.2037075465077126,-0.9540412315657136,val,USDVND_RET,-39.83133995438643,-40.78538118595214
2023-11-07,-0.7573467782593006,-0.2987018999863419,val,USDVND_RET,-39.1924294146099,-39.49113131459624
2023-11-08,-0.1027854957385579,-0.1613325422615014,val,USDVND_RET,-39.93611616376499,-40.0974487060265
2023-11-09,0.2465079309082755,0.3598316686537026,val,USDVND_RET,-39.72997003136941,-39.37013836271571
2023-11-10,-0.1231780077733758,0.7025918574800591,val,USDVND_RET,-39.734759747231664,-39.032167889751605
2023-11-11,0.0,0.0737850763572988,val,USDVND_RET,-40.0822190065139,-40.008433930156606
2023-11-12,0.0,0.1131953178669579,val,USDVND_RET,-39.70663162542296,-39.593436307556
2023-11-13,-0.102764370363202,0.393256428097806,val,USDVND_RET,-39.8859868123546,-39.492730384256795
2023-11-14,0.2710696583428363,0.0818088714979234,val,USDVND_RET,-39.9610137751849,-39.879204903686976
2023-11-15,-0.02050987557695,-0.0167960057780454,val,USDVND_RET,-39.431619261407356,-39.4484152671854
2023-11-16,-0.3698989051780709,0.3514421189999656,val,USDVND_RET,-39.69174976926237,-39.34030765026241
2023-11-17,0.0082348581592123,-0.8341863717773986,val,USDVND_RET,-39.97464090977736,-40.808827281554755
